Year,Proportion,MLPapersCount,NbPapersNoCategories,TotalPapersCount
91,0.0,0,0,105
92,0.0,0,0,1583
93,0.0,0,0,3996
94,0.011781119206324601,76,0,6451
95,0.007837346660608814,69,0,8804
96,0.006108269069252501,80,1,13097
97,0.0060373853477301755,104,0,17226
98,0.0042366963080217885,91,0,21479
99,0.002813165615078568,70,0,24883
00,0.006306733257992782,173,0,27431
01,0.003336253959695356,99,0,29674
02,0.004163818283512522,134,0,32182
03,0.0033231157074512276,116,0,34907
04,0.0035222291797119597,135,0,38328
05,0.003649995067574233,148,0,40548
06,0.004053618314984569,176,0,43418
07,0.005383664662630664,257,0,47737
08,0.007679670645052749,388,0,50523
09,0.010976629229818631,604,0,55026
10,0.01282740997276487,763,0,59482
11,0.01827156743620899,1203,0,65840
12,0.02109514628688836,1499,0,71059
13,0.031034438628597755,2425,0,78139
14,0.04106657690365704,3416,0,83182
15,0.05906602466855748,5373,0,90966
16,0.08955162988046184,8780,0,98044
17,0.12286170242550372,13165,0,107153
18,0.1664008025259834,20237,0,121616
19,0.2176457948980121,29375,0,134967
20,0.2553647230396625,39223,0,153596
21,0.2757181282988226,43462,0,157632
22,0.2932555457400864,47803,735,163008
